phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot
20.501474,21.168705,19.821844,0.02293197445819207,0.77811533,0.029471176,,,
20.111486,21.109968,19.161095,-0.14930089097976476,0.5779232,-0.25834036,,,
16.014671,16.98673,15.033065,3.6680253465464916,0.055334933,66.2877,0.1915,3619.51,4.4107
18.884653,19.77543,17.2039,1.0716223007516719,0.41100743,2.6073065,,,
20.75258,21.235655,19.626415,2.6532632299381436,1.5848957,1.6740932,,,
12.781659,13.07565,12.320119,1.8109109757031632,0.0651908,27.77863,0.1194,6034.4673,3.8941
15.529118,16.18756,14.751781,1.797629540393463,0.03987507,45.08154,,,
18.542822,19.525425,17.446497,0.8489909261436088,0.21697702,3.912815,0.1122,3446.0425,4.5683
20.38941,20.42618,19.858416,0.857762013795758,0.74285954,1.154676,,,
15.898786,16.538113,15.128933,1.4316256177729765,0.058458377,24.489656,0.1502,4431.7007,4.4452
13.677025,14.102883,13.088522,2.4583862227185067,0.016297812,150.84149,0.2022,5470.3,4.6032
18.768946,19.777822,17.7685,0.7310379595318057,0.28316492,2.5816686,0.0063,3516.0195,4.6447
13.541017,13.986058,12.933383,0.7876427971267984,0.017283093,45.573025,0.0969,5078.349,3.4718
20.84667,21.427689,19.835583,3.04203668026104,1.7935797,1.69607,,,
15.272224,15.948316,14.46632,2.3966207348497437,0.03716497,64.48601,0.2434,4477.792,4.634
18.55968,20.110538,17.413012,1.6128580799570105,0.22916237,7.0380583,0.2882,3355.1118,4.8149
16.302345,17.276709,15.325517,3.2392747555809214,0.05398012,60.008663,0.2708,3696.2183,4.5932
19.977709,20.528154,18.983747,-1.089786186404735,0.66697496,-1.6339236,,,
20.73473,21.238543,19.394958,2.888567507214629,1.4503621,1.9916182,,,
20.65789,20.939346,19.41199,0.08905550047063897,1.1222833,0.07935206,,,
19.976898,21.164667,18.831959,0.06468235676616783,0.56163096,0.11516879,,,
20.210018,20.947233,19.340063,1.251894507713471,0.77163315,1.622396,,,
15.938369,16.285517,15.412087,0.47817048049755445,0.046958283,10.1828785,0.1387,5639.062,4.5644
