phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot
15.381942,17.047861,14.069572,11.582490117806723,0.250069,46.317177,,,
16.960861,18.962753,15.646155,12.972709501486385,0.08454971,153.43292,,,
17.794752,19.84263,16.438793,10.300808995805518,0.1881809,54.73887,,,
13.597661,14.994779,12.418932,15.64347704168905,0.110965416,140.97615,,,
17.180384,17.29447,16.901245,19.28026602398071,0.09949502,193.78122,,,
9.94981,10.398103,9.342178,10.364479981386712,0.021585725,480.15433,0.002,5017.3457,4.3357
17.691494,19.78962,16.370989,10.517068178632496,0.1586226,66.30246,0.5669,3128.312,5.0711
14.295762,15.921978,13.064037,19.199687879392368,0.024958026,769.2791,5.0E-4,3017.0652,4.3054
11.623326,12.268665,10.856572,10.911814507287987,0.021719562,502.39572,0.1384,4528.7036,4.6059
17.918837,20.570475,16.507458,14.608511377725154,0.22154929,65.93797,,,
19.442883,19.957348,18.789198,11.551402328387443,0.3702154,31.201843,,,
12.6994505,13.507222,11.818898,10.007484831111029,0.016387776,610.66766,0.3625,4270.555,4.673
8.6472435,9.001652,8.125869,18.76803933607429,0.02044158,918.13055,6.0E-4,5512.998,4.4187
9.988005,10.419327,9.391081,13.83342165783968,0.020896172,662.00745,2.0E-4,5180.156,4.5292
15.621596,17.164576,14.408148,10.80571202116765,0.039105523,276.3219,0.5589,3380.5857,4.9031
17.474182,20.365839,16.030407,20.174223178955202,0.1432323,140.84967,,,
17.173874,19.104261,15.886127,10.31352903873856,0.09175184,112.406784,0.6863,3193.8406,5.0211
19.052172,21.144413,17.561855,15.934519122805211,0.31619936,50.3939,,,
7.989245,8.239635,7.5732207,16.723703094359948,0.024346137,686.91406,1.0E-4,6150.635,4.3265
12.653177,13.784286,11.597353,20.970368767105636,0.018011972,1164.2461,,,
10.513511,10.942912,9.848972,10.738206914959852,0.0947792,113.29709,0.0832,5004.6777,4.4346
15.0822315,16.573683,13.891906,11.278005564884985,0.029056547,388.1399,0.5145,3429.8752,4.8472
13.77109,15.482401,12.513745,21.969577865703958,0.2720026,80.76974,,,
18.28403,21.098772,16.738901,26.988660185120033,0.23660745,114.06513,,,
15.672572,17.11987,14.490155,10.782732313749587,0.060428362,178.43828,0.4668,3412.7646,4.9461
11.718158,12.357705,10.947777,10.656209625593497,0.09445604,112.816605,0.0143,4345.5913,4.4731
8.800286,9.075633,8.336778,10.468458630578244,0.12448353,84.09513,0.0758,6006.925,4.2064
