source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,distance_pc
92603790642688,10.969874447270998,0.018589059,9.920633,0.90176105,91.15874614670476
1611029348487680,11.831171660416297,0.027482554,14.417983,2.549201,84.52248253194676
1880233603259648,14.90199885781868,0.08646509,17.32866,0.38295937,67.10509170891036
1883673872488960,14.462367167453491,0.10753655,17.16023,3.3867588,69.14497387747336
2021898804878976,14.04087378543737,0.17308533,18.47584,0.8228245,71.22063877799114
2109005036665728,10.29283045359567,0.15371719,17.998743,3.5504265,97.1550055651274
2315953740307840,10.808705018847348,0.06429941,14.468943,2.2383394,92.51802119275904
2563137698681984,12.24696244052729,0.13778836,17.878334,3.4505234,81.65290004408189
4691208094573312,13.780113518176917,0.026330922,14.657369,2.5915318,72.56834268316668
4796074015983360,17.349804031770535,0.018729234,13.898657,2.4385986,57.6375386239997
4984189288211840,17.58501923215187,0.073559925,16.774261,3.4057226,56.866585517952295
5430900246705792,12.87242363368896,0.07871394,16.890316,3.4439135,77.68544824634718
5461038032533632,17.680016267228847,0.016502414,10.950188,1.5082674,56.56103393148853
5676885908994304,17.575924333295465,0.10273341,17.136904,3.798006,56.89601189882349
6033677432164352,14.441913633807447,0.024984041,14.727054,2.5850143,69.24290127722924
6491722808836864,18.09840210734654,0.020715281,10.219606,1.3120604,55.25349663847274
6808867489604992,12.280152590785635,0.024038954,7.910992,1.0921454,81.43221288230133
6989977670532096,32.158864741441754,0.01979967,13.108954,2.6237888,31.095625048957118
7426273332724480,10.333140936682685,0.013801931,11.82393,1.4080553,96.77599542361767
8876602184795904,12.415531949779256,0.056327403,16.34798,2.777977,80.54427341856905
8968647628650624,10.893964556850486,0.17002834,18.139666,3.4549828,91.79394652713157
9086299667995520,13.4703251325667,0.047189955,15.379364,2.807578,74.23725783591797
9924642924529280,11.59436878515493,0.19750561,18.412205,3.7640858,86.24876597683945
10516351978889984,12.784334906436886,0.056484308,14.022943,2.4237547,78.22072930023931
11063251639242752,24.374941791512807,0.023215115,12.9907255,2.6311035,41.0257389967673
12454928417866240,13.82699586660739,0.085446104,14.537064,2.768056,72.32228964608501
13093229277751680,12.481501952831406,0.028362786,14.420071,2.5359688,80.11856295653199
13291897284706432,22.060206671917264,0.02255404,13.5160675,2.6638412,45.33049100002332
13521282898090496,13.674010304064424,0.014968975,10.94,1.2499084,73.1314353114655
14895255820376064,10.333976773574229,0.2584747,18.950825,0.6908741,96.76816794839074
15674573341829760,14.282667729845546,0.018785149,9.024732,0.8296375,70.0149313079913
15879731043983360,11.013243721995448,0.095387615,17.022753,3.2238913,90.79977028046864
16059230612648320,11.339755162055544,0.052537862,14.548285,3.0961561,88.18532549504633
16302463200535040,58.46895604154765,0.036587466,11.09795,2.5205755,17.103093123287625
16343007691951872,10.60351688910153,0.04025671,14.936498,2.550228,94.30833283510083
16564937242037760,12.885299858368384,0.0220154,14.442996,2.6149797,77.60781751233736
17081810786214016,14.688954997215719,0.030465733,14.638918,2.6423264,68.07836229258986
17285873272440192,20.381613736505265,0.021616824,9.681743,1.1478968,49.06382845480542
17293531198591232,10.769078848621248,0.10718817,17.079023,0.18209839,92.8584528033267
17629981756809728,14.42765495497383,0.23632716,18.226933,3.9190083,69.31133320839899
18493721155296768,16.768577967029678,0.037922222,15.540302,-0.070920944,59.63534904189232
18576867426893696,22.688609116593433,0.022365872,12.752853,2.2856855,44.07498030668812
19388307008211584,13.66600608972953,0.1448007,18.069849,0.6954117,73.17426857811326
19485927320169472,10.14494743266638,0.26447153,18.63983,4.219082,98.57123525155336
19693180966870656,25.701808277998992,0.09997394,17.16822,0.7755852,38.90776824664162
19815986966908288,10.739458823671729,0.043475844,15.932829,3.126091,93.11456158254616
19971739661002624,25.74536799671886,0.033687774,14.795586,2.7781239,38.84193848491293
20229094100767744,23.556962038924652,0.04868834,13.572958,2.571455,42.45029551550989
20356564435714944,10.33784714533846,0.15531161,11.44673,1.4106045,96.73193905279591
20769091749574784,16.555786986545616,0.5671209,9.221049,1.0969439,60.4018402032274
21596852206503552,11.470166476167565,0.05320491,16.046406,2.9376678,87.18269277763108
22295213888893952,15.044889824466608,0.024611913,14.17834,2.358017,66.46775161980645
22323457593799936,10.119379072960843,0.024488322,13.909738,2.2025862,98.82029250905497
23518729812535680,10.490385977730028,0.06305519,16.609861,2.9755297,95.3253771713351
23738666497678336,12.865316087307539,0.10420196,15.411936,2.6940851,77.72836619121735
23824016087881856,13.416266924093755,0.032287687,15.169744,2.7180872,74.53638226324632
23981761646857600,15.023891590973662,0.020314945,12.265187,1.8165493,66.56065067727185
24275915367057152,10.672769680890813,0.47102368,15.1824,2.739627,93.69639089939905
25150095830346752,14.131365648969743,0.051249333,16.254719,2.881607,70.76456903320634
25403911217750400,11.053705373552988,0.016669419,10.049926,0.9261217,90.46740131074893
26656731702831232,12.115598391757919,0.03788531,15.307306,2.572235,82.5382261498769
27349565762570368,10.411629038745104,0.022769868,14.278472,2.175538,96.04644924234914
28697528363520384,10.804380808094947,0.28435433,18.908125,3.7649155,92.55504945278972
29660807923749504,14.360832096563167,0.018035749,9.283201,0.9061489,69.63384804417565
31776474454015744,22.199456178901727,0.06823902,14.770724,2.6511745,45.046148515583724
32138419938064000,24.391234431242815,0.021046592,8.811068,1.0023785,40.99833498869974
32634574560000000,11.36432229695038,0.022324786,10.182193,1.1830959,87.99468845303255
32730262135739904,14.705010021410363,0.23304139,18.493837,4.073185,68.00403390028357
32828840225067776,10.467223706710335,0.23435849,18.188194,3.716055,95.53631679419628
32882170834633856,11.453244357334999,0.024543354,14.536162,2.3489437,87.31150482784996
34264772346904320,13.461546238651588,0.029480692,8.123956,0.6525545,74.28567136877196
34373623997992064,10.997707009248327,0.027540851,13.924879,2.2588148,90.92804519697313
35738873842314624,12.731229489204816,0.08554278,16.843243,3.4697695,78.54700921446192
35933109443351680,14.478496963974191,0.018642358,9.539398,0.9132633,69.06794279048637
36133461079133696,10.6069856414746,0.029255651,14.632577,2.460124,94.2774916268274
36493448058137728,11.936288464049776,0.03807766,15.621156,2.4983568,83.77813614440056
36540074223000576,22.054637181893586,0.018159194,11.507427,1.8709621,45.341938375707215
36729396381884160,12.407380049928177,0.035290204,9.740814,0.9317579,80.59719263663473
37414254686537344,30.285432033716095,0.01973977,13.220235,2.9431095,33.019175651406336
37990776736722304,10.054640267942148,0.015697742,12.27583,1.588028,99.45656665493682
38781428676304768,17.64675233195837,0.018571133,11.035399,1.5160999,56.66765086224926
39107399515029504,17.93778669320784,0.016913285,10.20327,1.2671747,55.748237901538374
39122346001196544,19.62998131986827,0.061918,15.171787,3.1918821,50.942483525843244
39305036729495936,24.098115357753688,0.030627556,15.021885,-0.11414528,41.49702103896042
39527412956401280,24.866681023215587,0.06810178,13.6313505,3.40771,40.21445399433876
40749004732280960,11.44500261916472,0.059210587,15.897949,2.5817175,87.37437930555774
41657476216684160,10.53846606796433,0.023697097,14.282128,2.0836287,94.89047016433253
41671147095698688,10.081929310970576,0.01616854,10.053564,0.88545513,99.18736475486467
41840029505514496,49.532858167711204,0.035710838,11.280926,2.3567438,20.188618969132417
42208262821258880,13.10205259692611,0.027958186,14.225954,2.687993,76.3239189128741
42374048560382080,14.277813658762732,0.032969285,6.3827343,0.21668816,70.03873449393768
44345644707619328,13.384268324612647,0.046969604,15.613451,2.7237768,74.71458101008604
44479407168836992,17.6134628571068,0.021834869,12.815252,2.164237,56.77475281906381
44619491822168960,12.318159712825222,0.057060517,16.215954,3.1962175,81.18095748984616
44729717862766080,11.597398436108545,0.052651264,16.243803,2.9666615,86.22623474644935
44866400900149248,10.445044820105368,0.08936083,14.427534,,95.73917749736493
45003736776189696,17.628160855818276,0.015336572,13.363241,2.4042473,56.72741519543965
45142206521351552,22.850537135218378,0.028883275,5.984928,0.50674057,43.7626474197296
45521022637022976,17.222783736916753,0.03315736,15.09831,2.8493023,58.0626230506812
45795110269884416,11.88240067015107,0.12755294,12.35785,2.0288,84.15807779584715
46335206700895872,10.787522304192269,0.027004614,14.662538,2.4452848,92.69969245962791
46498282316394240,22.560717858850875,0.02530618,12.6925535,2.3502245,44.324830719324225
46508036186376448,12.628630266755144,0.040515784,15.351451,2.6041584,79.1851514279026
46721410160647552,11.35831374671225,0.24795477,18.568436,3.8672466,88.0412376607802
46820164344685568,11.701785709267005,0.035599858,15.243222,1.7984362,85.45704261257059
47018660554526208,11.88455510927291,0.049938995,16.12025,2.6906176,84.14282157013612
47023058601033728,14.878646891269529,0.1740087,18.02449,4.081156,67.21041283577867
47109438983082496,21.87325614936264,0.029881796,13.841202,2.9892673,45.71793029677197
47283264898464768,10.54914131302068,0.17229041,13.68821,2.2528267,94.79444537971179
47558756985619072,14.173739333871872,0.21645074,11.140319,1.4982462,70.55301190774952
48469530569468544,12.872536870309924,0.18613991,18.098007,3.9575844,77.68476486608219
48548527903788288,25.635606553181134,0.021729179,8.776985,1.0557404,39.00824417497192
48774443183685888,13.338863532480483,0.024296243,14.416343,2.2773762,74.96890552669451
49520255665123328,21.031458216917265,0.022780646,12.847304,2.5429764,47.54782049280924
49784688211974144,10.325268761737432,0.015584169,12.050833,1.5570507,96.8497792237352
50046543778190720,14.314074435223962,0.06944288,16.888832,3.4464483,69.86131059506076
50300290446718336,19.05424038386912,0.02335565,13.990629,2.639494,52.481756283844135
50327297200978176,20.95167537165959,0.019205533,9.780697,1.2687778,47.72888001847604
50593477796911104,12.672176638518547,0.21803717,18.741945,1.2173176,78.9130414233956
50597124226659328,12.61742261769222,0.017852033,12.100888,1.6833849,79.25548904082791
50983465123479168,10.212787120329786,0.122558795,17.52587,3.2651749,97.91646376427246
51212026103928832,10.92326169236234,0.0156081775,12.968334,1.9064426,91.54774719891684
51850945438240384,26.790820958581772,0.023186237,13.72065,2.7846193,37.32621712287151
51894582305891328,10.803733922627726,0.069830656,16.570927,2.7569456,92.56059128831045
52214815067850496,16.50215000911196,0.15576988,17.784103,4.0652676,60.598164448137474
52470962620208512,14.94773757974233,0.02100414,13.364308,2.789729,66.89975621161781
52627853482094080,20.8917832641881,0.027442295,13.23431,2.5678596,47.8657081281406
52949765574960256,10.65333400398777,0.22179678,18.806667,0.44933128,93.86732825852252
53728945658385152,25.78365659177557,0.021833703,12.370875,2.2294292,38.78425840960736
