,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot,Distance,Color index,Absolute visual magnitude,Absolute magnitude,Log luminosity,Spectral class
15868,17.10458,17.481459,16.54021,0.3266823852038428,0.08421231,3.8792713,0.0072,5258.4746,4.6479,,,,,,
15870,18.383713,18.789534,17.887342,0.3266538683132787,0.16877262,1.9354671,0.002,5415.9873,4.7775,,,,,,
15873,17.992966,18.693832,17.140413,1.0755981055910575,0.12051125,8.925292,0.0026,4030.1917,4.8067,87.06671898312577,0.8680769999999995,4.622585303830464,4.48639410579316,0.06944235768273614,G
15875,14.784378,15.133539,14.236951,0.9130610316675704,0.02490549,36.661034,0.0265,5388.439,4.2848,82.30195459214725,2.6162579999999984,11.197027168616216,10.026929252948133,-2.146771701179253,M
15877,18.143438,19.637016,16.917213,2.4033925026885994,0.13996048,17.171936,0.6305,3419.4634,4.7791,,,,,,
15878,18.52641,18.865648,18.009874,0.3376482842250188,0.16828297,2.0064316,0.002,5424.6133,4.7726,92.79873241046278,1.558322500000001,7.693637385629266,7.265513780053382,-1.042205512021353,K
15880,16.109026,16.575546,15.481816,0.8835205353080959,0.046364926,19.055796,0.0041,4877.8413,4.5573,91.06308076358053,2.260066,10.056824348149242,9.180202305610784,-1.8080809222443137,M
15881,18.313656,19.24056,17.406172,0.8797466780318811,0.143961,6.111007,0.0372,3755.753,4.8736,,,,,,
15882,16.750982,17.101694,16.2357,0.3485142522519866,0.06692245,5.2077327,0.0047,5445.081,4.6392,,,,,,
15895,18.16216,19.2071,17.124771,0.951973853888396,0.14119363,6.7423286,0.2998,3604.2798,4.6368,98.54055032673209,1.1868345000000016,6.51318215354199,6.249885083088397,-0.6359540332353589,K
15897,17.06608,17.522562,16.494167,0.3625386328327955,0.0739026,4.9056273,0.0089,5053.983,4.5209,,,,,,
15898,16.600096,17.127296,15.926795,0.76669726541517,0.05747437,13.339811,0.1003,4812.626,4.4916,91.20967694847275,2.6801209999999998,10.559128055582235,9.339908412394415,-1.871963364957766,M
15899,14.972398,15.529321,14.26328,1.8833731206676323,0.02733441,68.90118,0.3478,4965.0576,4.6085,,,,,,
15901,16.54839,17.397121,15.658455,1.422763336879288,0.07314304,19.451794,0.552,4355.7324,4.5796,98.31732367796772,0.8975360000000006,3.954364731900304,3.7974527600318346,0.3450188959872662,G
15904,17.220043,17.914164,16.429386,1.029505234294395,0.09328449,11.036189,0.0291,4272.76,4.5287,,,,,,
15905,15.251579,15.58807,14.737718,0.5716398649461669,0.037826266,15.1122465,0.2011,5860.7754,3.9331,81.12893306388924,1.4559964999999995,7.3892464631489325,7.010577177211211,-0.9402308708844842,K
15906,18.564087,19.493744,17.688944,0.7168933730089085,0.22973089,3.1205788,0.0037,3765.487,4.679,,,,,,
15907,18.272844,19.31496,17.317131,0.728182702237554,0.1702655,4.2767487,0.0298,3556.859,4.4153,,,,,,
15909,12.774341,13.2322645,12.149123,0.2950836996777194,0.020505719,14.390312,0.4628,5603.5854,2.7304,,,,,,
15910,12.879485,13.43087,12.179929,0.8689336999046325,0.02223626,39.077335,0.3456,4944.4478,3.3106,,,,,,
15912,14.164798,14.681228,13.500122,2.238811152537085,0.02601532,86.05741,0.2088,5013.293,4.5556,,,,,,
15913,13.573938,13.966798,13.016438,1.478354878218521,0.025653796,57.627136,0.0882,5385.972,4.2795,,,,,,
15915,18.829374,20.335629,17.61927,2.089714745617539,0.3661221,5.707699,0.0226,3223.8384,5.0362,,,,,,
15916,15.331589,15.831782,14.671907,1.386159970739294,0.043390196,31.946386,0.1217,4883.3525,4.4843,,,,,,
15917,17.234486,17.670006,16.654104,0.4666430731876811,0.12633057,3.6938252,0.0046,5039.6313,4.6038,,,,,,
15918,14.617367,14.995916,14.072702,1.0202198451844666,0.034075923,29.93961,0.0076,5305.4634,4.3422,,,,,,
15921,16.710985,17.149794,16.089485,0.9070784481255408,0.07724781,11.742448,0.1396,5095.0234,4.7877,,,,,,
15922,17.7389,18.22598,17.133978,0.1731040758721159,0.12880263,1.3439482,0.0169,4922.302,4.696,,,,,,
15925,17.011248,17.994642,16.04243,1.9574063470024567,0.10270004,19.05945,0.2109,3635.4153,4.4177,,,,,,
15928,16.417557,16.92583,15.769579,0.869799407823132,0.087547205,9.9352045,0.0032,4703.2505,4.1923,95.1213719969787,0.7995340000000013,4.93221817410344,4.80038447117202,-0.05615378846880788,G
15931,18.18263,19.089302,17.298218,0.6845549215498249,0.22062165,3.1028457,0.2061,4088.854,4.4673,77.48149149954936,1.0141679999999997,5.875347893556649,5.677278139055451,-0.40691125562218033,K
15934,15.258048,15.9312935,14.46844,1.5735467543149737,0.037857134,41.565395,0.2711,4487.0566,4.4289,32.91695426459188,2.5470500000000005,11.578976255976855,10.421304779703853,-2.304521911881541,M
15937,17.762625,18.205326,17.150202,0.3791095144188297,0.12419559,3.05252,0.0085,4939.347,4.7733,87.34330875761553,2.5901140000000016,11.042970182695065,9.89880680034016,-2.0955227201360644,M
15938,14.614061,14.984892,14.073309,1.0022799604100865,0.029491525,33.985355,0.2371,5739.1045,4.3945,,,,,,
15939,16.470524,17.14985,15.679482,1.272224669375991,0.05906327,21.540031,0.1862,4321.015,4.3892,,,,,,
15943,17.593222,18.49884,16.641453,1.581531540256936,0.09177383,17.232925,0.2722,3928.7273,4.7775,98.8395247560487,1.9301700000000004,8.36753006232616,7.738932757280679,-1.2315731029122716,K
15944,17.826584,18.835993,16.87613,1.200830170884534,0.11039325,10.87775,0.1026,3588.5166,4.4047,,,,,,
15945,16.854237,17.320091,16.224724,0.4716149491451453,0.060328413,7.81746,0.0766,4956.169,4.734,,,,,,
15948,15.636228,15.9835,15.117132,0.4624293254674609,0.044711094,10.342608,0.239,5934.4507,4.5231,,,,,,
15949,18.277077,19.48611,17.161602,1.2511741622749315,0.18079616,6.9203577,0.2011,3356.7717,4.3477,,,,,,
15950,13.84057,14.160753,13.357829,0.7721972604520407,0.018703807,41.285564,0.0857,5808.976,4.0669,,,,,,
15951,16.449873,16.917707,15.837927,0.7349535358773153,0.06848041,10.732318,0.0459,4941.2485,4.7156,,,,,,
15954,18.202091,18.773895,17.493895,0.6753027130019496,0.19923039,3.3895566,0.0018,4374.5923,4.8638,82.2579889280057,0.6978372999999998,3.3562147248852483,3.2495731623998587,0.5641707350400565,F
15955,18.129793,19.250427,17.022646,1.2477586641278309,0.22019814,5.666527,0.2237,3476.1526,4.525,,,,,,
15957,18.469427,19.756104,17.331537,1.3967922714992542,0.18291922,7.636115,0.356,3457.3625,4.6367,,,,,,
15959,17.18364,18.46181,16.053705,3.519795192152274,0.07614282,46.226227,0.4325,3499.9832,4.6567,,,,,,
15963,16.54182,17.0458,15.857165,0.8536541353364014,0.054584224,15.63921,0.0123,4683.29,4.4608,,,,,,
15969,18.175997,18.71368,17.486492,0.2606009261526589,0.12998109,2.0049143,0.0142,4597.915,4.7172,,,,,,
15971,15.868606,16.71728,14.968578,2.3261565114670715,0.040688917,57.169292,0.5268,4265.438,4.6012,,,,,,
15972,16.011974,16.472427,15.3894005,0.8778268281112842,0.047354043,18.537527,0.1589,5095.577,4.6532,64.33263037642931,0.6849908999999998,3.352679104218751,3.2491324559148076,0.564347017634077,F
15973,18.679564,19.331963,17.844336,0.3342808933077517,0.21323793,1.5676427,0.003,4166.606,4.9051,,,,,,
15975,15.224517,15.594584,14.686962,0.864853483232854,0.046935324,18.426495,0.0044,5305.953,4.3653,,,,,,
15976,18.380955,18.94232,17.731213,0.416216128323674,0.15576921,2.672005,0.0068,4622.3887,4.7973,,,,,,
15978,18.961641,20.0047,17.886496,1.4472895372483912,0.34244564,4.2263336,0.0291,3447.3347,4.6215,,,,,,
15982,18.295074,19.151863,17.39848,0.5590511646887976,0.20904908,2.674258,0.0033,3844.2358,4.8588,,,,,,
15984,14.803489,15.184512,14.248238,0.9089810033930972,0.036775917,24.716747,0.2487,5686.2046,4.4016,28.563868966916207,2.3883010000000002,10.618919208829844,9.597005839314548,-1.974802335725819,M
15985,17.250137,17.953125,16.445206,0.7428918755892627,0.11200428,6.63271,0.0085,4164.4473,4.7327,97.58866190433822,3.0193414999999995,12.411445346631737,10.859248184126361,-2.4796992736505445,M
15986,17.191996,18.197498,16.240236,1.533975521672575,0.13334632,11.503696,0.3876,3875.1162,4.7634,,,,,,
15987,17.742414,18.767159,16.709867,1.3293962981020748,0.16430563,8.090997,0.2078,3581.5454,4.4078,,,,,,
15990,18.631134,19.595139,17.67295,1.0444026433720963,0.30009857,3.4801986,0.004,3488.7417,4.7276,,,,,,
15991,15.452265,15.747717,14.968724,0.4448636560626002,0.050784446,8.75984,0.154,6037.529,4.1981,92.56642619622515,1.127846,6.114122278553893,5.8798985159230845,-0.4879594063692338,K
15992,16.604025,17.475029,15.688098,1.5036715524469624,0.06505644,23.113338,0.5961,4360.058,4.6658,,,,,,
15998,16.495228,18.10622,15.273443,9.155678819406432,0.0812171,112.73092,0.5627,3331.964,4.9764,88.37874885528674,2.529941000000001,11.04110232310428,9.958002754369371,-2.1192011017477483,M
15999,18.596992,20.16142,17.397615,1.5565905898197143,0.24075583,6.4654326,0.3932,3372.2834,4.5233,,,,,,
16000,17.368166,17.811544,16.760378,0.3895015756317956,0.094421946,4.125117,0.0034,5003.4443,4.7183,,,,,,
16004,18.662569,19.3881,17.854269,0.3141272720393386,0.21243992,1.478664,0.003,4069.729,4.969,,,,,,
16006,17.373936,17.934757,16.66814,0.8414169990463878,0.083057925,10.130485,0.0012,4523.3145,4.7204,87.1072869750407,2.3521255000000014,10.441768167890348,9.496924562466003,-1.9347698249864012,M
16010,17.98091,18.40538,17.307247,0.0154157344422503,0.13569374,0.11360682,0.0223,4729.0635,4.8759,91.62730438805532,1.2786289999999987,5.991202159514025,5.7038374494522035,-0.4175349797808814,K
16012,15.921656,16.649494,15.103299,1.7239045077771211,0.062166076,27.73063,0.3385,4477.3027,4.5818,,,,,,
16013,13.255821,13.609643,12.729859,1.5380246335035237,0.016451944,93.48589,0.2071,5803.5415,4.1822,55.61068686083268,0.9270490000000002,5.537933777960223,5.370192704077171,-0.28407708163086837,G
16014,15.643106,16.899313,14.533556,6.880232427739966,0.044764616,153.69801,0.4884,3607.736,4.8461,97.72884771753249,2.9567729999999983,12.120089710291303,10.62758410897608,-2.3870336435904322,M
16016,10.34111,10.700331,9.815261,3.9450357794485074,0.013201885,298.82367,0.1634,5744.977,4.0437,95.14560524464025,2.6800330000000017,11.591590676603875,10.36380333441926,-2.281521333767704,M
16019,18.521183,19.957994,17.368221,1.052564096710931,0.1828019,5.7579494,0.2035,3398.0032,4.8481,,,,,,
16020,17.751764,18.82144,16.753021,1.2709216487957562,0.11417976,11.130884,0.3883,3812.197,4.7462,77.9881870831019,2.0623070000000006,8.732629981973485,8.01595387585196,-1.3423815503407839,K
16022,18.671728,19.368128,17.952621,0.2201437187684163,0.19428174,1.1331159,0.0074,4369.1846,4.8397,99.67727009573898,1.8326320000000003,7.944888315392689,7.377177323658856,-1.0868709294635424,K
16023,18.25956,19.471369,17.168474,1.3414861247403382,0.16587302,8.087428,0.262,3484.242,4.5648,,,,,,
16025,16.549232,17.02751,15.886933,0.8903803646783531,0.05689189,15.650393,0.1716,4984.2725,4.6767,,,,,,
16027,18.149313,18.542982,17.652454,-0.1021652728277926,0.17799538,-0.57397705,0.0068,5375.5005,4.7603,97.20720308509482,3.1462960000000013,12.684915072758429,11.004843762600935,-2.537937505040374,M
16029,15.613964,16.035635,15.027275,0.3881659809305993,0.047843434,8.113255,0.2934,5650.8257,4.3896,,,,,,
16030,18.233175,18.772078,17.561916,0.0509872173952212,0.18164492,0.28069717,0.0065,4628.981,4.8395,,,,,,
16032,15.6921625,16.000942,15.217417,0.3964801592927546,0.045889754,8.639841,0.3395,6403.4937,4.2848,49.320801789727426,2.640051999999999,12.469163390264551,11.226900359284222,-2.626760143713689,M
16033,14.359193,14.697869,13.846677,1.0940565184456197,0.028290663,38.672,0.0476,5568.4517,4.3131,,,,,,
16036,16.06896,16.499464,15.472257,0.7164214647727212,0.04903545,14.610277,0.0099,5015.013,4.4169,94.39486917405453,2.6449350000000003,11.338602285531692,10.146276055519927,-2.1945104222079705,M
16037,16.070457,16.439531,15.533157,0.5432525957148326,0.05084462,10.684564,0.1481,5636.976,4.6054,,,,,,
16040,18.943874,20.432545,17.809734,2.63339270465185,0.3120056,8.440209,0.0046,3162.5605,5.0306,,,,,,
16042,16.183956,16.620138,15.583436,0.3962849843049608,0.059297565,6.682989,0.176,5281.9097,4.552,90.1146573402266,1.003044000000001,5.577643250082804,5.381616321782687,-0.2886465287130747,K
16043,18.072796,18.650948,17.370165,0.1971990918430184,0.16702518,1.1806549,0.0052,4474.293,4.7776,93.95578530644983,2.100662,10.518748548276882,9.760234365773023,-2.0400937463092093,M
16045,15.660425,16.03238,15.113861,0.7613077277826708,0.047340564,16.081509,0.2182,5744.044,4.5366,98.74767480658903,2.7705660000000005,11.680520120262265,10.366964609168605,-2.2827858436674417,M
16048,18.828918,19.881586,17.533245,1.406889877855987,0.25663593,5.4820457,0.3405,3422.2935,4.6093,97.20332934100135,1.218373999999999,6.514138521279683,6.235056298328363,-0.6300225193313452,K
16050,13.434769,13.799744,12.900508,1.6587368224122128,0.016938144,97.92908,0.1443,5596.5576,4.2967,,,,,,
16051,18.237995,19.543436,17.161417,1.7566282470522636,0.1661009,10.575669,0.1248,3280.0798,4.5673,,,,,,
16054,13.2589,13.585625,12.766881,1.7185539921297377,0.01538335,111.7152,0.1479,5885.0205,4.2675,,,,,,
16056,17.738678,18.080797,17.22281,0.2826483502360626,0.10945628,2.5822945,0.0045,5420.571,4.7175,94.00826687902877,3.0307369999999985,12.87693114832576,11.305934769124892,-2.658373907649957,M
16060,18.029604,18.875782,17.136002,0.8037290458067836,0.15197636,5.2885137,0.0153,3841.0525,4.8601,,,,,,
16066,18.598576,18.95221,18.082998,-0.0374148418581183,0.21943684,-0.17050391,0.0019,5519.224,4.7549,80.61203353832344,2.416634,8.846948489646024,7.848911615465646,-1.2755646461862584,M
16069,14.805805,15.201394,14.239918,1.1712134901126192,0.025095688,46.669907,0.0536,5270.3726,4.3969,97.59998544462917,2.6209830000000007,10.307919565589792,9.137523235504538,-1.7910092942018154,M
16071,16.564913,17.607822,15.548131,1.9647405879820847,0.06113617,32.137123,0.263,3648.9658,4.1605,,,,,,
16073,17.507008,17.834658,17.01653,0.3093799032429086,0.109064884,2.836659,0.0051,5551.3896,4.7113,,,,,,
16076,10.352987,11.157481,9.4846,0.4482237123756364,0.017928623,25.000454,0.4516,4227.3535,0.9639,,,,,,
16077,18.788265,19.393068,18.00823,0.4001266803654489,0.2198558,1.8199506,0.0014,4056.729,5.0066,,,,,,
16079,17.008678,17.456785,16.376158,0.4541856995077439,0.070918575,6.4043264,0.0559,4929.062,4.691,,,,,,
16080,13.924765,14.329695,13.34767,1.378428225827434,0.022672882,60.796337,0.0243,5135.675,4.2309,,,,,,
16084,18.098576,19.132809,17.138056,1.163350294010585,0.14184773,8.201402,0.2289,3673.8357,4.5953,93.2719588146756,1.128082000000001,6.343356105474726,6.100288512375727,-0.5761154049502907,K
16086,16.44916,17.067516,15.706775,1.1763443741182074,0.059956506,19.619963,0.0274,4391.833,4.4197,94.38151497043201,2.7601580000000006,11.706165345484422,10.404711279168659,-2.2978845116674633,M
16088,18.36205,18.627602,17.886461,-0.0133318564056443,0.1614338,-0.082584046,0.0027,5719.026,4.7433,,,,,,
16090,15.329036,15.821893,14.674322,0.2367164828853638,0.036853146,6.423237,0.5474,5547.4443,4.1162,,,,,,
16092,16.053272,16.41407,15.49517,0.5461816558383794,0.04750301,11.497833,0.0501,5347.844,4.3408,,,,,,
16093,17.789124,18.768024,16.718117,1.210016855732796,0.123548,9.7939005,0.2744,3633.5437,4.4194,96.57661086880807,0.7457609999999999,4.6027839366190335,4.484361196107276,0.07025552155708965,G
16096,18.529154,19.368303,17.655136,0.5415807462542147,0.2105028,2.5727959,0.0024,3840.829,4.9021,,,,,,
16097,18.857601,20.332674,17.708864,1.4033422225612782,0.28960288,4.845747,0.189,3293.902,4.6974,,,,,,
16108,18.881891,19.571093,18.071249,0.217585599758869,0.27569592,0.7892231,0.0065,4046.9795,5.0096,92.7198234783843,2.7670999999999992,11.638549430717383,10.32960201930538,-2.267840807722152,M
16111,18.783663,19.232944,18.20942,0.2264023876738458,0.21165922,1.0696552,0.0048,4851.309,4.8782,98.42821096681398,2.4036170000000006,11.389173150501655,10.399293042839918,-2.295717217135967,M
16112,13.165501,13.587894,12.5810795,2.3076005186152706,0.01512219,152.59698,0.1566,5357.5825,4.392,62.99169537084033,0.7502713000000005,4.039870871636101,3.9196385140299412,0.2961445943880236,G
16113,17.636898,18.878727,16.535572,2.048478106553948,0.12160047,16.845972,0.4683,3635.2437,4.7693,,,,,,
16114,18.112387,18.640451,17.387955,0.3056934096609531,0.1712905,1.784649,0.0245,4406.5625,4.7966,46.775891810251984,3.1213800000000003,13.59659515481167,11.87010261832959,-2.884041047331836,M
16117,13.912986,14.2795315,13.376334,1.7348685039978138,0.020740867,83.64494,0.213,5720.461,4.4852,92.95970679551203,2.7661230000000003,11.646705670921055,10.342971273805514,-2.2731885095222055,M
16118,13.302113,13.621401,12.815584,1.267886092920817,0.0172138,73.655205,0.1532,5938.319,4.1987,,,,,,
16119,18.771667,19.83509,17.730164,1.0101958729800726,0.23258679,4.343307,0.1202,3529.2546,4.7079,,,,,,
16122,18.477003,20.097706,17.203602,1.8932591396409248,0.22561727,8.391463,0.4883,3323.9346,4.5821,,,,,,
16123,17.44845,17.915442,16.85607,0.2332388307065952,0.09958738,2.342052,0.0479,4986.8945,4.6895,97.59598594643579,3.098948,12.96445551622854,11.329464220947404,-2.6677856883789617,M
16124,18.87361,19.39231,18.216337,0.0259506323880673,0.25760376,0.100738555,0.0065,4739.9326,4.8452,,,,,,
16125,18.230125,19.61483,17.113852,1.5085782422708391,0.1606441,9.39081,0.4874,3556.775,4.275,68.3027836541954,0.9159603000000001,3.3756083724753125,3.213532982249614,0.5785868071001545,G
16126,16.13776,16.73064,15.405648,1.6348531105653463,0.059813075,27.332705,0.0063,4394.8384,4.6191,88.87858098845678,2.5163759999999993,10.136503842192944,9.056933439204222,-1.758773375681689,M
16128,10.551646,11.08309,9.8658495,1.85208259743667,0.022738935,81.44984,0.3795,5098.949,3.2332,,,,,,
16133,17.078384,17.736525,16.305046,1.0725622964577768,0.07075959,15.157837,0.0103,4284.144,4.3949,,,,,,
16134,18.207096,19.099106,17.336908,0.8595482945000719,0.13055257,6.5839243,0.0114,3875.614,4.9022,,,,,,
16135,17.643892,17.820597,17.317331,0.0747787916705206,0.12462712,0.60002023,0.0086,6814.165,4.405,,,,,,
16136,13.937745,14.252038,13.457686,0.863266652153089,0.016076503,53.69741,0.2816,6195.238,4.0275,,,,,,
16139,17.729286,18.759804,16.729464,1.2679973767391364,0.1111427,11.408732,0.2776,3653.1147,4.4502,,,,,,
16140,17.439579,18.94462,16.2348,2.525582515264161,0.1063489,23.748083,0.6493,3460.5376,4.5109,,,,,,
16141,18.8239,20.239944,17.648682,1.2983421521897545,0.21596627,6.011782,0.1216,3337.2124,4.9221,,,,,,
16143,18.92173,20.546913,17.688082,2.1718786301885813,0.24890944,8.725577,0.0407,3201.9302,4.5036,,,,,,
16148,18.804457,19.716867,17.910633,0.7901528405375261,0.1924462,4.1058373,0.0073,3761.3425,5.0117,82.05200572383717,4.463274000000002,17.795839174593485,14.29839599175352,-3.855358396701408,M
16149,18.959085,20.433247,17.857779,2.1342825058292747,0.21728452,9.822524,0.0731,3183.4268,4.6737,,,,,,
16151,18.374657,19.306414,17.440521,0.803746482433187,0.15171632,5.297693,0.0213,3678.2615,4.5793,,,,,,
16155,17.818455,18.43918,17.086555,0.5293052382233018,0.115556315,4.580496,0.0207,4374.388,4.7619,,,,,,
16157,18.668802,19.41129,17.847034,0.4570582099949644,0.22261302,2.0531514,0.0046,4063.2373,4.9951,,,,,,
16159,17.580105,19.14261,16.379896,2.9842249972832344,0.10118874,29.49167,0.6394,3389.889,4.4889,,,,,,
16160,12.491143,13.008294,11.812315,0.7296362332553509,0.014414385,50.618618,0.4978,5313.319,3.3279,,,,,,
16161,17.927217,19.31161,16.796413,2.1941755915524324,0.16195117,13.548377,0.5707,3516.693,4.8241,,,,,,
16163,12.709701,13.021203,12.226959,2.2626324895108785,0.017459646,129.59212,0.2826,6252.8047,4.4566,,,,,,
16165,18.163288,19.452446,17.037756,1.20187444740789,0.20315821,5.9159527,0.2557,3395.6982,4.3614,,,,,,
16167,15.603289,16.08144,14.962518,1.0470734787728564,0.049676076,21.078024,0.0802,4881.9507,4.3596,86.62116141201948,2.136609,9.701049602456944,8.919617487846757,-1.703846995138703,K
16168,16.950594,17.401789,16.32431,0.5449623746916131,0.0833781,6.5360374,0.0051,4813.231,4.3923,,,,,,
16169,13.63536,13.894461,13.223936,0.7237916862243214,0.02704915,26.758389,0.2749,6661.0996,4.0219,,,,,,
16170,13.104405,13.515987,12.507209,1.3934999613443506,0.020177256,69.06291,0.237,5554.6787,4.118,,,,,,
16171,18.419256,19.409832,17.423246,0.9566798320391384,0.18097289,5.286316,0.0508,3470.3923,4.4641,90.99847119134262,2.933254,12.275692809823013,10.800721519644043,-2.4562886078576174,M
16173,13.0881405,13.495588,12.435977,3.62329259548536,0.014821983,244.45396,0.3132,5513.912,4.6312,78.69552834197924,1.7244424999999985,7.924463573507552,7.417118722675912,-1.102847489070365,K
16174,18.196272,18.617693,17.378052,0.3998005706610024,0.45761347,0.8736643,0.0038,4592.017,4.7937,,,,,,
16176,18.32933,19.136997,17.458424,0.7902659387234205,0.21272571,3.7149525,0.0036,3959.0972,4.9004,,,,,,
16177,18.05276,18.865377,17.157207,0.8773949328789848,0.1751957,5.0080853,0.003,3792.2795,4.6258,98.75224198866322,2.7676409999999994,11.296905913192042,9.987676178646652,-2.131070471458661,M
16183,17.681751,19.222912,16.498587,4.049345721913363,0.15956435,25.377508,0.5201,3409.0664,4.9364,95.65489686683124,2.129358,9.159600820144348,8.385235961021543,-1.4900943844086172,K
16185,12.8505945,13.190913,12.341,2.524356304892818,0.024055673,104.93809,0.1503,5845.522,4.4074,97.94245401895711,1.6311715000000007,7.418587713676889,6.964931093097086,-0.9219724372388343,K
16192,16.661222,17.020561,16.12998,0.372360248014615,0.091862254,4.053463,0.005,5391.6255,4.6591,89.6855735309355,2.6546909999999997,11.355999193180828,10.15401105121152,-2.1976044204846077,M
16193,18.923073,20.229908,17.862192,1.319260703321022,0.38018087,3.470087,0.067,3222.9695,4.6878,,,,,,
16195,11.497875,11.8316555,10.997205,3.5207253667666984,0.026705153,131.83693,0.0447,5687.909,4.1976,,,,,,
16199,17.30991,17.980688,16.526535,1.021798392936559,0.101651855,10.051941,0.0023,4284.4688,4.6804,,,,,,
16200,13.5841,14.00978,12.998245,1.934343498582758,0.018082518,106.97313,0.1097,5289.3525,4.4072,,,,,,
16201,18.413599,19.66397,17.27464,1.2845019579666843,0.19371292,6.6309566,0.3426,3445.509,4.5421,,,,,,
16202,18.47569,18.855173,17.97939,0.2574537676855429,0.16218553,1.5874028,0.0017,5411.8706,4.7718,33.033404830658185,1.0592710000000007,6.152604835213154,5.933398301243571,-0.5093593204974284,K
16205,17.105598,17.46915,16.583675,0.1885117329309558,0.075718366,2.4896433,0.0028,5434.295,4.6567,43.75139244031053,1.2255409999999998,6.654414682298398,6.368349602406049,-0.6833398409624195,K
16207,17.703857,18.050856,17.213634,0.0218241318889213,0.10744131,0.20312607,0.0027,5586.075,4.6891,,,,,,
16208,18.695927,19.922468,17.622925,1.125165735692878,0.20811589,5.4064384,0.0158,3405.2058,4.6073,,,,,,
16213,18.34217,19.809366,17.152536,3.2564676900791096,0.19511898,16.689651,0.0934,3253.3035,4.9716,,,,,,
16218,18.950699,19.978624,18.009851,1.058010148257234,0.33506644,3.157613,0.0047,3477.128,4.6418,95.61838396175101,2.033856,7.356305218540285,6.809289002763208,-0.8597156011052832,G
16219,14.294771,14.681428,13.730648,0.8144607236127155,0.02575284,31.626055,0.2411,5593.8823,3.8693,92.51278524196799,1.2310344999999998,6.5117803521759114,6.22977021866496,-0.627908087465984,K
16221,18.762373,19.871407,17.70027,1.1539182149149911,0.2592686,4.450667,0.0133,3409.0476,4.7943,,,,,,
16225,16.860687,17.306923,16.26124,0.6019998180418468,0.06253478,9.62664,0.0101,4961.477,4.6938,,,,,,
16226,17.398333,18.115711,16.654453,0.8537748370823627,0.092707686,9.209321,0.01,4386.3345,4.5296,,,,,,
16229,16.867226,17.424,16.16176,0.6575323321008957,0.06287223,10.458232,0.0541,4552.7666,4.5263,95.26709658283664,2.112630000000001,9.297098189325986,8.533498351998904,-1.5493993407995619,K
16230,18.884521,19.158281,18.48512,0.1241820231683853,0.21894537,0.56718266,0.0025,6091.085,4.7079,,,,,,
16234,17.870996,18.20743,17.340631,0.249031910058571,0.11388746,2.186649,0.0037,5537.3853,4.7359,,,,,,
16235,18.646605,19.055843,18.102907,-0.0657222960431887,0.22290406,-0.29484567,0.0019,4994.5005,4.7975,64.16809560146163,1.1624479999999995,6.427003264516511,6.177836248148182,-0.6071344992592729,K
16242,17.573374,18.708971,16.524075,2.104296018433017,0.15835997,13.288055,0.468,3712.86,4.3943,,,,,,
16246,16.085455,16.462555,15.545842,0.4253845739094044,0.05177159,8.216564,0.188,5686.7544,4.3054,,,,,,
16248,18.863302,19.43067,18.254044,0.4549147627917927,0.26317593,1.7285575,0.0041,4815.036,4.8105,,,,,,
16249,13.682432,13.972273,13.226425,1.0452757363059084,0.016618969,62.89655,0.3012,6444.5474,4.2089,,,,,,
16254,14.158701,14.527715,13.626453,1.062438477839626,0.017776538,59.766335,0.1629,5692.0605,4.227,,,,,,
16255,18.771381,19.549044,17.873314,1.1349638622149256,0.20485082,5.540441,0.0023,3659.4436,4.9492,75.37439999656704,0.5675103000000004,3.3107376477501482,3.233812359779174,0.5704750560883305,F
16256,17.361315,18.145372,16.50479,0.8750530028232618,0.07836729,11.166049,0.4096,4457.222,4.6124,,,,,,
16257,16.104605,16.456688,15.585604,0.4967690933318738,0.049596805,10.01615,0.0689,5602.3613,4.4783,,,,,,
16259,18.445145,19.1306,17.67336,0.4584657586777271,0.15770079,2.9071872,0.0017,4144.9165,4.9389,98.8591256769951,3.0988999999999987,12.52951561364857,10.888886174076571,-2.4915544696306284,M
16260,17.826555,19.05578,16.662683,1.7642269621610185,0.121669285,14.500183,0.4536,3498.9976,4.3171,38.431351079599736,2.50366,11.079573724503568,9.96003673678565,-2.12001469471426,M
16262,16.438602,17.186373,15.601368,1.3529578227662962,0.05499266,24.602516,0.1722,4253.1084,4.6526,97.69642614645467,1.969828999999999,8.439814835279442,7.786386615042904,-1.2505546460171617,K
16263,12.490653,12.814425,11.988909,1.8559046085906743,0.015174428,122.30475,0.1285,5932.278,4.0338,,,,,,
16264,18.698288,20.215258,17.465317,1.5812332576294814,0.2131844,7.417209,0.3177,3328.971,4.9114,88.6364019985562,2.4504610000000007,10.640396848224853,9.612812407476213,-1.981124962990485,M
16266,15.616166,16.131748,14.957658,1.076578033037921,0.041164067,26.153345,0.1147,4922.0854,4.4634,75.1613877486489,3.968943000000003,17.0235304769542,14.250809049322669,-3.8363236197290678,M
16267,16.59564,16.986677,16.009138,0.4373545163159105,0.07621116,5.73872,0.0022,5132.8535,4.4004,72.51118361464776,0.7683369999999989,4.726846010845399,4.60177802869285,0.02328878852285996,G
16268,16.497873,16.90516,15.8806925,0.5100852287839729,0.059511106,8.571261,0.0056,4985.9585,4.5461,,,,,,
