,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot,Distance,Color index,Absolute visual magnitude,Absolute magnitude,Log luminosity,Spectral class
677,16.58628,16.918123,16.084898,0.3130525554105677,0.060407806,5.1823196,0.0072,5563.199,4.5397,94.87274538707631,2.1115209999999998,9.105973018776155,8.342892159044172,-1.473156863617669,K
679,17.791945,18.308994,17.131832,0.2879318272801301,0.11713538,2.4581115,0.0045,4662.007,4.7544,47.673877680343686,2.8223944999999997,11.801202972627255,10.3845756107565,-2.2898302443025997,M
682,16.492579,17.151789,15.713336,1.289005504634799,0.05313288,24.260035,0.0167,4245.24,4.5293,,,,,,
687,18.674696,18.987755,18.271902,-0.1855543259154834,0.18570413,-0.9991934,0.0017,6088.2437,4.7097,,,,,,
688,18.593765,19.404043,17.76157,0.5571857756873703,0.18856141,2.95493,0.0156,4055.3374,4.5221,46.36113156151615,0.8417779999999997,4.186781882522018,4.040689462579628,0.24772421496814873,G
689,18.828901,19.20042,18.394468,0.1965388874036309,0.19861391,0.9895525,0.0033,5637.626,4.7324,,,,,,
692,11.395856,11.734409,10.883077,5.218789095810842,0.025216093,206.96265,0.1167,5718.395,4.4244,59.397122924459616,1.0301299999999998,5.9702799119302945,5.761828954243214,-0.44073158169728543,K
693,17.90017,19.203028,16.76859,2.3037676728824,0.13776393,16.722574,0.2982,3451.3662,4.6947,98.02501883066188,2.288976999999999,9.754237510588474,8.854248327997652,-1.677699331199061,M
695,18.869215,20.00236,17.658552,2.132717721798891,0.2389973,8.923606,0.0304,3251.6267,4.9692,37.402125227832286,3.1887929999999987,13.681933738155259,11.881351600161011,-2.8885406400644045,M
700,17.344841,18.910276,16.141886,4.036589301933792,0.09281818,43.489212,0.5989,3362.2383,4.6222,,,,,,
701,18.874472,20.562286,17.614815,4.363150896182896,0.23489468,18.574924,0.0203,3073.399,5.079,94.40003281758764,2.547873000000001,10.647155644329715,9.53638227361057,-1.9505529094442282,M
703,14.676593,15.011978,14.169125,0.7582306514652362,0.024121333,31.434029,0.1965,5859.839,3.9112,94.77767580914248,2.848291999999999,11.71727681005396,10.320626227583833,-2.2642504910335335,M
